COUNTA of Title,Genre2,,,,,,,,,,,,,,
Year,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Music,Mystery,N/A,Romance,Science Fiction,Short,War,Western
1920,,,,,1,,,,,,,,,,
1923,,,,,,,,,,,,,,,1
1924,,,,,3,,,,,,,,,,
1925,,,,,1,,,,,,,,,,
1926,1,,,,1,,,,1,,,1,,,
1927,,,,,2,,,,1,,,,,,
1928,,,,,4,,,,,,,,,1,
1929,,,,,4,,,,1,,,,,,
1930,,,,,2,,,,1,,,,,,
1931,,,1,,5,,,,,,,,,,3
1932,2,,,1,3,,1,,,,,,,,1
1933,,,,,3,,,,,,,,,,
1934,,,,,2,,,,,,,,,,2
1935,,,1,,2,,1,,1,,,1,,,2
1936,,,3,,1,,,,2,,,,,,
1937,,,2,,2,,,,2,,,,,,3
1938,,,,,3,,,,1,,,,,,4
1939,1,,1,,5,,,,,,,,,,4
1940,1,,,,5,,,,1,,,,,,4
1941,,,1,,3,,,,,,,,,,3
1942,1,,,,4,,,,,,,,,1,
1943,1,,,,4,,1,,1,,,,,,1
1944,,,,,2,,,,,,,,,2,
1945,,,,,4,,,,,,,,,1,2
1946,,,,,5,,,,3,,,,,,1
1947,,,1,,2,,,,,,,,,,6
1948,,,1,,6,,,,2,,,,,,5
1949,1,,,,5,,,,,,,,,2,7
1950,1,,2,,4,,,,1,,,,,,3
1951,1,,,,3,,,,1,,,,,1,
1952,,,2,,6,,,,,,,,,1,1
1953,3,,2,,7,,2,1,,1,,,,,
1954,1,,1,,6,,,,2,,,,1,,1
1955,,,6,,9,,,,3,,,,,2,
1956,1,,1,,9,,1,,1,,,,,1,1
1957,2,,2,,10,,,,,,,,,,2
1958,1,,4,,5,,,,,,,1,,1,
1959,1,,2,,3,,,,,,,,,,3
1960,2,,,,6,,1,,,,,1,,,1
1961,1,,1,,10,,,1,,,,,,,1
1962,2,,1,,7,,,,2,,,,,2,1
1963,,,4,,7,,2,,,,,1,,,
1964,2,,3,,5,,,1,,,,1,,,1
1965,,,4,,5,,,1,1,,,,,1,
1966,1,,6,,8,,,,3,,,,,1,2
1967,2,,5,,5,,,,,,,,,,3
1968,2,,4,,7,,,1,,,,1,,2,3
1969,2,,2,,8,,,1,1,,,,,,5
1970,3,,8,,10,,,1,,,,,,2,4
1971,2,,2,,13,,,2,2,,,1,,,1
1972,2,,7,,11,,,,,,,,,1,3
1973,4,,4,,10,,1,1,1,,,,,,5
1974,4,1,2,,13,,,1,1,,,1,,,
1975,6,,6,,7,,1,1,,,,,,,2
1976,3,,3,,8,,2,,,,,,,1,
1977,3,,5,,13,,4,1,1,,,1,,1,
1978,3,,4,,6,,1,,2,,,1,,1,
1979,8,,12,,6,,1,2,1,,,1,,,2
1980,2,,10,,10,,2,,2,1,,2,,,1
1981,3,,6,,12,,2,,1,,,2,,,
1982,5,,8,,20,,2,1,,,,1,,,
1983,4,,17,,13,,3,1,1,,,1,,,
1984,8,,11,,17,,,1,,,,1,,,
1985,4,1,15,,17,,,1,2,,,1,,,1
1986,6,,41,,35,,4,1,4,,,3,,1,
1987,16,,28,,42,1,2,1,6,,,3,,2,1
1988,14,,26,,40,,5,2,7,,1,1,,,
1989,19,,28,,31,,7,2,10,,,1,,1,2
1990,17,1,26,,33,,5,5,8,,,6,,,4
1991,16,,37,,40,,5,7,8,,,1,,4,11
1992,18,1,9,,30,,,5,15,,,2,,1,7
1993,2,,7,,4,,,1,3,,,,,,4
1996,,,,,,,1,,,,,,,,
1997,,,,,,,,,,,,1,,,